Mixture	B.cell	Dendritic.cell	Macrophage	Monocyte	Neutrophil	NK.cell	T.cell	Basophil	P-value	Correlation	RMSE
Sim103	0	0.0179555590665539	0	0.388764102818516	0	0.319791833805425	0.179514876861129	0.0939736274483755	0	0.0943706228978374	1.22069388483186
Sim104	0.199624216008492	0.152983254954832	0.0466811440752093	0.0957392428682078	0	0	0.199554529782965	0.305417612310294	0	0.219939908921254	1.06860880957575
Sim105	0.109239595176477	0	0.108073119641055	0	0	0.347535089395668	0.00477006980475113	0.43038212598205	0	0.23903925739119	1.07537867097421
Sim106	0.350074808702114	0.0828734248468985	0.205070070595845	0	0.202597389375153	0.159384306479989	0	0	0	0.244394769898715	1.1075642614923
Sim107	0.391474029052049	0	0	0.0761367668222668	0.118316548913737	0.0198145882678975	0.111776608626237	0.282481458317812	0	0.0679174697466465	1.17693987106785
Sim108	0	0.0648846646449471	0	0.117063451893529	0	0.09988982186434	0.426716547067435	0.291445514529749	0	0.248397318232386	1.05634782462536
Sim109	0	0.0552550869990206	0.0212915351086432	0.0573603102342478	0	0	0.27206646284301	0.594026604815079	0	0.364575247534556	0.985009666606815
Sim110	0.0206679578092361	0.0459211574068215	0	0.0369082163475513	0.186439472668457	0.349506154740873	0.175890806772471	0.184666234254591	0	0.200766929382788	1.12300079379248
Sim111	0	0.16044749993702	0.12523782599153	0.189118291763297	0.0870232969498332	0.245245788393161	0.192927296965159	0	0	0.0677594785581752	1.23740593585633
Sim112	0.011478972074813	0.0932356236584922	0.0882233256389674	0	0.151214284873261	0.319537646373262	0.234661786394602	0.101648360986603	0	0.18063544123208	1.14320091353351
Sim113	0.503019210578401	0	0	0.378445084033934	0	0.0149456015668552	0	0.10359010382081	0	0.00570981728535437	1.25894701445246
Sim114	0	0	0.067019673858659	0.0671064613043145	0.314530300757643	0.266959003198482	0.284384560880902	0	0	0.226491106453382	1.13463729559217
Sim115	0.0731277212763119	0.132017362938246	0.0147037859440996	0.0522465269258957	0.207590077963044	0.181584334054124	0	0.338730190898279	0	0.315617607572726	1.03246612485791
Sim116	0	0.0222504391270068	0.228965819187545	0	0.0864308528456963	0	0.211392928418163	0.450959960421589	0	0.341968948856114	1.00288486689583
Sim117	0.266372495732795	0.125043480951354	0	0.313204171168765	0.0919963020972208	0.0303161170288028	0.000536257146231018	0.172531175874832	0	0.225719903047091	1.09732163772746
Sim118	0.154545743471283	0.419672300594538	0.221980309638862	0.00320553078129292	0	0.151537631692028	0	0.0490584838219962	0	0.0570863694107473	1.23406745539187
Sim119	0	0	0.0304619885887361	0.116777002729426	0	0	0.444917170437255	0.407843838244583	0	0.106671220219416	1.13405632779156
Sim120	0.0989611661270706	0.193757516590231	0.144450095109128	0.0143454268820852	0.32406241151624	0.112236067668187	0	0.112187316107059	0	0.273657286590633	1.08007621774184
Sim121	0	0	0.333071941012973	0	0.0218781024753316	0.0848270246113717	0.294611777497955	0.265611154402369	0	0.0745862093306255	1.16929382277869
Sim122	0.0952493567847332	0	0	0.188172257510438	0.387910755185989	0.328667630518839	0	0	0	0.106058246377623	1.23279906562605
Sim123	0	0.255325096896156	0.049974052986159	0.0971336386381723	0	0.0674635302175715	0.0274358361216127	0.502667845140329	0	0.173496138016996	1.10796610687087
Sim124	0	0.140854527898244	0.0455446160059793	0.0222096033414866	0.0594530460873058	0.181422300133893	0.182000498860124	0.368515407672968	0	0.291611535685356	1.02779636015547
Sim125	0.0252158234926229	0.187759050870315	0.154670229879545	0	0.0290126299258925	0	0.559567703509543	0.0437745623220812	0	0.192151350213676	1.14074228715981
Sim126	0	0	0.160087992236525	0.13213959004542	0	0	0.468497227987588	0.239275189730467	0	0.173547002102226	1.1066902121625
Sim127	0.372163862318653	0.0776941271694037	0	0.0624693945174073	0.0502046710153014	0.146488531530849	0	0.290979413448386	0	-0.000531499953574745	1.21081001519444
Sim128	0.116302360551764	0	0.20280932729306	0	0.231721162039605	0.127417722365361	0.32174942775021	0	0	0.197364187884364	1.14076765958117
Sim129	0	0.120481646134727	0.145792379952188	0.117152284333161	0.020825948974101	0.0252215262229456	0.172638863839766	0.397887350543112	0	0.19267526098055	1.08944281322225
Sim130	0.0115395539092626	0.178372980965583	0.0981033095656006	0.266527006645756	0.0187133918730194	0.0764104849585353	0	0.350333272082243	0	0.226031253090142	1.08399299482666
Sim131	0	0.291175236085248	0.127107173938013	0	0	0	0.22445377682318	0.357263813153559	0	0.312201613601867	1.00802986287129
Sim132	0.0858782785368831	0.124900977061244	0	0.0360313048953689	0.159709333343449	0.11584665969049	0.430177148458503	0.0474562980140622	0	0.189612663978013	1.14060119756957
Sim133	0.0224571623187389	0	0	0.268501161510347	0.252639154183664	0.105190091891463	0.207893710935213	0.143318719160574	0	0.174609279578442	1.14410685470461
Sim134	0	0.420582175301873	0.129453900271609	0.141033934007029	0	0.00944979353383583	0	0.299480196885653	0	0.214632296540218	1.08965534880954
Sim135	0	0.267940763938329	0.00104592561829434	0.181801884182966	0	0.0900061927977098	0.114048909385257	0.345156324077444	0	0.208430229039632	1.08145539879524
